,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
5179,31-Jul-1924,USA,South Carolina,"Folly Island, near Charleston",walking,27.34582218257508,Unkown,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols.",July,N,M
5180,14-Jul-1924,ENGLAND,Dorset,Weymouth,non representative,27.34582218257508,Unkown,12' shark,July,N,M
5181,04-Jul-1924,USA,California,"Newport Beach, Orange County",non representative,?    &   14,Unkown,White shark,July,N,M
5182,18-Jun-1924,USA,Florida,"Bayboro, Pinellas County",non representative,27.34582218257508,evening,White shark,June,N,M
5183,25-Apr-1924,AUSTRALIA,New South Wales,Kiama,non representative,20,afternoon,White shark,April,F,M
5184,22-Apr-1924,PANAMA,150 miles offshore,Unkown,non representative,21,Unkown,White shark,April,N,M
5185,20-Apr-1924,AUSTRALIA,Western Australia,Fremantle,swimming,27.34582218257508,Unkown,Questionable,April,N,M
5186,Reported 28-Mar-1924,SOLOMON ISLANDS,Central Province,Savo Island,swimming,27.34582218257508,Unkown,White shark,March,N,M
5187,24-Mar-1924,SPAIN,Galica,Sisargas Islands,non representative,27.34582218257508,Unkown,3.5 m shark,March,N,M
5188,13-Feb-1924,AUSTRALIA,New South Wales,Bronte,non representative,30,evening,White shark,February,N,F
5189,08-Feb-1924,AUSTRALIA,Queensland,Currumbin,non representative,27.34582218257508,afternoon,Shark involvement prior to death unconfirmed,February,N,M
5190,29-Jan-1924,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",swimming,22,Unkown,White shark,January,F,M
5191,25-Jan-1924,SOUTH AFRICA,Eastern Cape Province,"St. Georges Strand, Port Elizabeth",swimming,27.34582218257508,afternoon,White shark,January,N,M
5192,09-Jan-1924,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",non representative,16,afternoon,3 m [10'] shark,January,F,M
5193,12-Dec-1923,AUSTRALIA,New South Wales,"Murwillumbah, Tweed River",swimming,27.34582218257508,Unkown,White shark,December,N,M
5194,02-Dec-1923,AUSTRALIA,New South Wales,"Urunga, Belliger Heads",non representative,27.34582218257508,Unkown,White shark,December,F,M
5195,23-Nov-1923,AUSTRALIA,Western Australia,"Condon, 88 km NE of Port Hedland",non representative,27.34582218257508,Unkown,White shark,November,F,M
5196,02-Nov-1923,AUSTRALIA,New South Wales,Bellinger Head,non representative,27.34582218257508,Unkown,Shark involvement suspected but not confirmed,November,N,M
5197,20-Oct-1923,AUSTRALIA,New South Wales,"Botany Bay, Sydney",boating,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,october,N,M
5198,17-Oct-1923,AUSTRALIA,New South Wales," Black Head, south of Taree",non representative,27.34582218257508,Unkown,"""a very large shark""",october,N,M
5199,16-Oct-1923,AUSTRALIA,Torres Strait,Near Thursday Island,diving,27.34582218257508,Unkown,White shark,october,N,M
5200,08-Aug-1923,GUYANA,Demerara County,Off the Demerara River ,non representative,27.34582218257508,night,White shark,August,N,M
5201,Reported 02-Jul-1923,AUSTRALIA,Queensland,Great Barrier Reef,non representative,27.34582218257508,Unkown,White shark,July,N,M
5202,16-Jun-1923,AUSTRALIA,New South Wales,Bellambi Reef,non representative,27.34582218257508,Unkown,White shark,June,F,M
5203,06-Jun-1923,MEXICO,Vera Cruz,Outside Vera Cruz Harbor,non representative,27.34582218257508,Unkown,White shark,June,N,M
5204,Reported 23-May-1923,AUSTRALIA,Western Australia,"Southgates, near Geraldton",fishing,27.34582218257508,Unkown,White shark,May,N,M
5205,22-May-1923,AUSTRALIA,Queensland,Great Barrier Reef,non representative,27.34582218257508,Unkown,White shark,May,F,M
5206,18-Mar-1923,AUSTRALIA,Queensland,"Ross River, Townsville",non representative,27.34582218257508,Unkown,White shark,March,N,M
5207,Feb-1923,USA,Puerto Rico,San Juan,swimming,25,Unkown,White shark,February,N,M
5208,27-Jan-1923,AUSTRALIA,Western Australia,Bunbury,non representative,27.34582218257508,Unkown,Shark involvement prior to death was not confirmed,January,N,M
5209,27-Jan-1923,AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",swimming,13,Unkown,White shark,January,F,M
5210,14-Jan-1923,CUBA,Caribbean Sea,20 miles from Havana,non representative,27.34582218257508,Unkown,"Atkins' remains were recovered from a dusky shark, C. obscurus, by Capt. W. F. Young, shark fisherman",January,N,M
5211,1923,USA,New Jersey,"Sea Bright, Monmouth County",non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
5212,1923-1924,PHILIPPINES, Manila Bay,Fort Drum,non representative,27.34582218257508,Unkown,White shark,Unkown,F,M
5213,1923,USA,New Jersey,Ocean City (offshore),non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
5214,1923,USA,New Jersey,Ocean City (offshore),non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
5215,14-Dec-1922,USA,Puerto Rico,San Juan,non representative,27.34582218257508,Unkown,White shark,December,F,F
5216,05-Dec-1922,AUSTRALIA,Queensland,Pialba Beach near Maryborough,non representative,19,Unkown,"2.7 m [9'] ""blue"" shark",December,F,M
5217,29-Sep-1922,BARBADOS,Lucy,Pie Corner,non representative,16,Unkown,White shark,September,F,M
5218,29-Oct-1922,AUSTRALIA,New South Wales,"Botany Bay, Sydney",boating,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,october,N,M
5219,28-Sep-1922,USA,Hawaii,"Keawanui, Kamalo, Moloka'i",non representative,27.34582218257508,Unkown,White shark,September,N,M
5220,Reported 26-Sep-1922,ENGLAND,East Yorkshire,Hornsea,swimming,27.34582218257508,Unkown,White shark,September,F,M
5221,Reported 21-Sep-1922,USA,Massachusetts,Nahant,non representative,27.34582218257508,Unkown,"""A pack of 6 sharks""",September,N,M
5222,19-Jul-1922,USA,Florida,"Pablo Beach, Jacksonville, Duval County",non representative,27.34582218257508,Unkown,White shark,July,N,M
5223,17-Jun-1922,USA,Florida,"Municipal Pier, St. Petersburg, Tampa bay",swimming,18,Unkown,1.8 m [6'] shark,June,F,F
5224,24-May 1922,JAMAICA,Westmoreland Parish,Savanna-la-Mar,swimming,19,morning,6' shark,May,F,M
5225,06-May-1922,SOUTH AFRICA,Western Cape Province,"Simons Town, False Bay",swimming,18,Unkown,"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark ",May,N,M
5226,26-Apr-1922,AUSTRALIA,New South Wales,Hawkesbury River,swimming,27.34582218257508,Unkown,White shark,April,F,M
5227,20-Mar-1922,JAMAICA,Kingston Parish,Kingston Harbor,non representative,27.34582218257508,Unkown,White shark,March,N,M
5228,13-Mar-1922,JAMAICA,Kingston Parish,Kingston Harbor,walking,14,Unkown,2.7 m [9'] shark later captured by Mitchell-Hedges,March,F,F
5229,02-Mar-1922,AUSTRALIA,New South Wales,Coogee,non representative,21,morning,"White shark, 2.4 m [8'] ",March,F,M
5230,Reported 02-Feb-1922,AUSTRALIA,New South Wales,"Bilgola Beach, Sydney",swimming,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,February,N,M
5231,04-Feb-1922,AUSTRALIA,New South Wales,Coogee ,swimming,18,afternoon,White shark,February,F,M
5232,Reported 28-Jan-1922,IRAQ,Unkown,Shatt-al Arab River,non representative,27.34582218257508,Unkown,White shark,January,F,M
5233,15-Jan-1922,AUSTRALIA,Queensland,"Ross River, Townsville",swimming,54,evening,White shark,January,F,M
5234,13-Jan-1922,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",walking,27.34582218257508,evening,Grey nurse shark?,January,N,M
5235,04-Jan-1922,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",surfing,26,evening,White shark,January,F,M
5236,11-Dec-1921,AUSTRALIA,Queensland,Fitzroy River at  Rockhampton,swimming,20,Unkown,White shark,December,N,M
5237,27-Nov-1921,AUSTRALIA,Queensland,"Gays Corner, Bulimba Reach of Brisbane River",non representative,8,morning,White shark,November,F,M
5238,27-Nov-1921,AUSTRALIA,Queensland,"Gays Corner, Bulimba Reach of Brisbane River",non representative,40,morning,White shark,November,N,M
5239,Reported 15-Nov-1921,FIJI,Viti Levu Island,Rewa River,swimming,27.34582218257508,Unkown,White shark,November,F,M
5240,12-Oct-1921,AUSTRALIA,Queensland,Off Hinchinbrook Island,non representative,27.34582218257508,Unkown,White shark,october,N,M
5241,04-Oct-1921,AUSTRALIA,Queensland,Barrier Reef,non representative,22,afternoon,White shark,october,F,M
5242,Sep-1921,ENGLAND,Dorset,Weymouth,non representative,27.34582218257508,Unkown,"Blue shark, 4' ",September,N,M
5243,Reported 29-Aug-1929,AUSTRALIA,Torres Strait,Unkown,non representative,27.34582218257508,Unkown,White shark,August,N,M
5244,28-Aug-1921,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",swimming,21,afternoon,White shark,August,F,M
5245,21-Jul-1921,CUBA,Unkown,Havana Harbor,boating,27.34582218257508,Unkown,White shark,July,F,M
5246,Reported 11-Jan-1921,PHILIPPINES,"Cavite Province, Luzon",Unkown,non representative,27.34582218257508,Unkown,Questionable,January,N,M
5247,29-Nov-1920,AUSTRALIA,Western Australia,Bunbury,fishing,27.34582218257508,Unkown,4' to 5' shark,November,N,M
5248,22-Aug-1921,HAITI,Cape Haitien,Marine Dock,non representative,27.34582218257508,afternoon,Comrades saw shark's tail appear about 5' away,August,F,M
5249,22-Nov-1920,AUSTRALIA,Western Australia,Cottesloe Beach,walking,27.34582218257508,Unkown,"15* to 24"" dog shark",November,N,M
5250,04-Nov-1920,PHILIPPINES,Leyte,Unkown,non representative,27.34582218257508,Unkown,White shark,November,F,M
5251,14-Jul-1920,USA,New York,"Woodcliff Channel, Freeport, Long Island",swimming,30,Unkown,Questionable,July,N,M
5252,Reported 06-Jul-1920,AUSTRALIA,Torres Strait,200 miles from MacKay,non representative,27.34582218257508,Unkown,White shark,July,N,M
5253,29-Jun-1920,USA,Florida,"Englewood Beach, Charlotte County",swimming,13,evening,White shark,June,N,M
5254,27-Jun-1920,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",non representative,27.34582218257508,Unkown,15',June,N,M
5255,08-Mar-1920,AUSTRALIA,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay",non representative,20,Unkown,White shark,March,N,M
5256,Reported 24-Jan-1920,AUSTRALIA,Torres Strait,Unkown,non representative,27.34582218257508,Unkown,White shark,January,N,M
5257,03-Feb-1920,SOUTH AFRICA,Eastern Cape Province,Zwartkops River,non representative,18,evening,White shark,February,N,F
5258,Reported 24-Jan-1920,AUSTRALIA,Torres Strait,Arlington Reef,diving,27.34582218257508,Unkown,White shark,January,F,M
5259,15-Jan-1920,AUSTRALIA,New South Wales,"Throsby Creek, Newcastle",swimming,12,morning,White shark,January,F,M
5260,1920s,JAMAICA,Westmoreland Parish,Savanna-la-Mar,non representative,27.34582218257508,Unkown,White shark,Unkown,F,M
5261,1920,NEW ZEALAND,North Island,"Stanley Bay, Auckland Harbor",non representative,27.34582218257508,Unkown,White shark,Unkown,N,F
5262,1920,SOUTH AFRICA,KwaZulu-Natal,Tugela River,non representative,12,Unkown,White shark,Unkown,N,M
5263,Reported 30-Dec-1919,AUSTRALIA,Queensland,Brible Island,swimming,29,Unkown,White shark,December,N,M
5264,07-Dec-1919,AUSTRALIA,New South Wales,"Pelican Island, Macleay River",swimming,47,night,White shark,December,F,M
5265,18-Nov-1919,AUSTRALIA,Northern Territory,Darwin,non representative,27.34582218257508,Unkown,White shark,November,N,M
5266,12-Sep-1919,COSTA RICA,Turtle Bogue,Where Colorado River enters the sea,non representative,27.34582218257508,Unkown,White shark,September,F,M
5267,10-Aug-1919,USA,Florida,"Gadsden Point, Tampa Bay",swimming,27.34582218257508,afternoon,White shark,August,N,M
5268,29-May-1919,USA,South Carolina,"James Island Sound, Charleston",non representative,27.34582218257508,afternoon,White shark,May,N,M
5269,06-Apr-1919,USA,Florida,"Florida Keys 25ºN,82ºW",non representative,27.34582218257508,Unkown,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum",April,F,M
5270,16-Mar-1919,AUSTRALIA,New South Wales,Sydney Harbor,non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,March,N,M
5271,17-Jan-1919,AUSTRALIA,New South Wales,Newcastle Beach,swimming,27.34582218257508,Unkown,3.7 m to 4.3 m [12' to 14']  shark,January,N,M
5272,15-Jan-1919,NEW ZEALAND,South Island,"Tahuna Beach, Nelson",swimming,27.34582218257508,afternoon,White shark,January,N,F
5273,09-Jan-1919,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",fishing,13,morning,12' shark,January,F,M
5274,05-Jan-1919,AUSTRALIA,Queensland,"Ross River, Townsville",non representative,38,morning,White shark,January,F,M
5275,Reported to have taken place in 1919,ITALY,Unkown,Savona,non representative,27.34582218257508,Unkown,13' shark,Unkown,N,M
5276,1919,USA,Florida,"Near Panama City, Bay County",swimming,27.34582218257508,Unkown,White shark,Unkown,N,F
5277,Nov-1918,USA,Hawaii,Papaikou plantation ,non representative,27.34582218257508,Unkown,White shark,November,F,M
5278,Nov-1918,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Muchoir Banks,non representative,27.34582218257508,Unkown,"Tiger sharks, 2.4 m to 4.9 m [8' to 16'] ",November,F,M
5279,19-Sep-1918,AUSTRALIA,Queensland,Townsville,non representative,22,Unkown,White shark,September,F,M
5280,22-Mar-1918,AUSTRALIA,New South Wales,Newcastle,surfing,27.34582218257508,evening,12' shark,March,N,M
5281,1918,AUSTRALIA,Queensland,Near Cairns,non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
5282,15-Dec-1917,AUSTRALIA,Western Australia,Port Hedland,swimming,27.34582218257508,night,White shark,December,N,M
5283,Nov-1917,MOZAMBIQUE,Maputo Province,Off Inhaca Island,non representative,27.34582218257508,night,White shark,November,F,M
5284,21-Sep-1917,USA,New Jersey,"Sea Bright, Monmouth County",non representative,27.34582218257508,Unkown,White shark,September,N,M
5285,09-Sep-1917,USA,Hawaii,"Nanakuli, Oahu",non representative,27.34582218257508,Unkown,12' shark,September,N,M
5286,Sep-1917,PANAMA,Colon,Unkown,non representative,27.34582218257508,Unkown,White shark,September,F,M
5287,18-Jul-1917,USA,Florida,Florida Keys ,non representative,27.34582218257508,afternoon,White shark,July,F,M
5288,15-Jul-1917,IRELAND,Off Ireland,82 miles from Fastnet,non representative,27.34582218257508,morning,White shark,July,F,M
5289,03-Jun-1917,USA,South Carolina,Calibogue Sound,non representative,27.34582218257508,Unkown,White shark,June,N,M
5290,31-May-1917,PHILIPPINES,Luzon Island,Canacao Bay,swimming,27.34582218257508,Unkown,White shark,May,F,M
5291,Reported 05-May-1917,KUWAIT,Unkown,Unkown,non representative,27.34582218257508,Unkown,White shark,May,N,M
5292,1917,LIBYA,Mediterranean Sea,Tripoli,non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
5293,30-Dec-1916,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",non representative,25,Unkown,White shark,December,N,M
5294,08-Dec-1916,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",non representative,41,morning,White shark,December,F,M
5295,08-Dec-1916,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",non representative,27.34582218257508,Unkown,White shark,December,N,F
5296,15-Nov-1916,PANAMA,Unkown,Panama Canal,non representative,27.34582218257508,Unkown,White shark,November,N,M
5297,10-Nov-1916,AUSTRALIA,Queensland,Townsville,swimming,27.34582218257508,morning,White shark,November,F,M
5298,09-Nov-1916,AUSTRALIA,Queensland,"Kissing Point Camp, Townsville",non representative,27,evening,White shark,November,F,M
5299,11-Oct-1916,USA,Florida,"Sewells Point, near Palm Beach",non representative,27.34582218257508,Unkown,White shark,october,F,M
5300, 24-Aug-1916,USA,Louisiana,Grand Lake,non representative,27.34582218257508,Unkown,White shark,August,N,M
5301,26-Jul-1916,USA,North Carolina,"Atlantic, near New Bern, Craven County",non representative,27.34582218257508,Unkown,White shark,July,N,M
5302,13-Jul-1916,USA,New York,"Sheepshead Bay, Brooklyn",swimming,27.34582218257508,morning,White shark,July,N,F
5303,13-Jul-1916,USA,New York,"Sheepshead Bay, Brooklyn",swimming,27.34582218257508,Unkown,White shark,July,N,M
5304,12-Jul-1916,USA,New Jersey,"In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County",swimming,12,Unkown,Said to involve a 2.7 m [9'] shark,July,N,M
5305,12-Jul-1916,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",non representative,24,Unkown,3 m [10'] shark,July,F,M
5306,12-Jul-1916,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",swimming,10,Unkown,White shark,July,F,M
5307,11-Jul-1916,BAHAMAS,Unkown,50 miles off Bahamas,non representative,27.34582218257508,Unkown,White shark,July,F,M
5308,08-Jul-1916,SPAIN,Gran Canaria,Las Palmas,non representative,27.34582218257508,Unkown,White shark,July,N,M
5309,07-Jul-1916,PHILIPPINES,Luzon Island,"Olongapo Harbor, Subic Bay",non representative,27.34582218257508,Unkown,White shark,July,N,M
5310,06-Jul-1916,USA,New Jersey,"Spring Lake, Monmouth County",swimming,27.34582218257508,afternoon,Thought to involve a 2.6 m [8.5'] white shark,July,F,M
5311,01-Jul-1916,USA,New Jersey,"Beach Haven, Ocean County",swimming,24,evening,Thought to involve a 2.6 m [8.5'] white shark,July,F,M
5312,30-Jun-1916,USA,New Jersey,"Atlantic City, Atlantic County",swimming,10 or 12,Unkown,White shark,June,N,M
5313,Reported 24-Jun-1916,ATLANTIC OCEAN,Unkown,Unkown,non representative,27.34582218257508,Unkown,White shark,June,F,M
5314,23-Jun-1916,USA,Florida,Unkown,non representative,26,Unkown,White shark,June,N,M
5315,Reported 25-Apr-1916,AUSTRALIA,New South Wales,Manley Beach,swimming,27.34582218257508,Unkown,White shark,April,F,M
5316,03-Apr-1916,AUSTRALIA,Victoria,Carrum,non representative,17,Unkown,White shark,April,F,M
5317,19-Mar-1916,AUSTRALIA,New South Wales,Curl Curl,non representative,27.34582218257508,afternoon,White shark,March,N,M
5318,Reported 09-Dec-1915,AUSTRALIA,Torres Strait, Thursday Island,non representative,27.34582218257508,Unkown,White shark,December,N,M
5319,10-Nov-1915,AUSTRALIA,Queensland,"Cabbage Tree Creek, Sandgate",non representative,10,Unkown,White shark,November,N,M
5320,08-Nov-1914,AUSTRALIA,New South Wales,Manly,non representative,27.34582218257508,Unkown,White shark,November,N,M
5321,03-Aug-1915,USA,Florida,"St. Augustine, St Johns County",non representative,27.34582218257508,Unkown,White shark,August,N,M
5322,Reported 06-Jul-1915,MEXICO,Tamaulipas,Tampico,non representative,27.34582218257508,Unkown,White shark,July,F,M
5323,Reported 06-Jul-1915,MEXICO,Unkown,Santa Maria Bar,fishing,27.34582218257508,Unkown,White shark,July,F,M
5324,Reported 15-May-1915,EGYPT,Unkown,Alexandria,boating,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,May,N,M
5325,29-Mar-1915,AUSTRALIA,Torres Strait,Near Thursday Island,non representative,27.34582218257508,Unkown,3 m [10'] shark,March,N,M
5326,06-Feb-1915,AUSTRALIA,Queensland,Wynnum-Manley,swimming,27.34582218257508,Unkown,White shark,February,N,M
5327,13-Jan-1915,NEW ZEALAND,North Island,Otaki,non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,January,N,M
5328,01-Jan-1915,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",non representative,17,Unkown,White shark,January,F,M
5329,Ca. 1915,USA,Florida,"Soldier Key, Miami-Dade County",non representative,27.34582218257508,Unkown,"Reported to involve a 3.7 m [12'] shark, possibly a white shark",Unkown,N,M
5330,Reported 04-Dec-1914,AUSTRALIA,Queensland,Magnetic Island,swimming,27.34582218257508,Unkown,White shark,December,N,M
5331,17-Oct-1914,SAMOA,Apolima Strait,Opposite Apelima &  Manona,non representative,27.34582218257508,Unkown,White shark,october,N,F
5332,Reported 26-Sep-1914,JAMAICA,Kingston Parish,Port Royal,boating,27.34582218257508,Unkown,"A 20' shark known as ""Old Tom""",September,F,M
5333,09-Sep-1914,USA,Louisiana,Lake Pontchartrain,swimming,17,Unkown,White shark,September,F,M
5334,Reported 15-Jul-1914,CROATIA,Zadar County,Biograd na moru,non representative,27.34582218257508,Unkown,1.5 m [5'] shark,July,N,F
5335,Reported 09-Jul-1914,USA,Louisiana,New Orleans,non representative,27.34582218257508,Unkown,White shark,July,N,M
5336,07-Jul-1914,CROATIA, Primorje-Gorski Kotar County,Rijeka,non representative,27.34582218257508,Unkown,6 m shark,July,N,M
5337,13-Jun-1914,MONTENEGRO,Adriatic Sea,Between St. Stjepan and Budva,non representative,27.34582218257508,morning,White shark,June,N,M
5338,10-Jun-1914,AUSTRALIA,Victoria,Sandringham,non representative,43,afternoon,White shark,June,F,M
5339,31-May-1914,NEW CALEDONIA,South Province,Noumea,non representative,27.34582218257508,Unkown,White shark,May,F,M
5340,14-May-1914,USA,Florida,"Boca Ciega Bay, Pinellas County",non representative,27.34582218257508,afternoon,3' shark,May,N,F
5341,Reported 14-Mar-1914,USA,Florida,"St. Augustine, St Johns County",swimming,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,March,N,M
5342,Reported 10-Mar-1914,GUYANA,Essequibo,Essequibo River Mouth,non representative,27.34582218257508,Unkown,White shark,March,F,M
5343,03-Mar-1914,USA,Hawaii,"Honomu, Hawai'i",non representative,27.34582218257508,Unkown,White shark,March,F,M
5344,Reported 09-Feb-1914,AUSTRALIA,South Australia,Marion Bay,fishing,27.34582218257508,Unkown,said to involve a tiger shark,February,N,M
5345,  03-Feb-1914,AUSTRALIA,New South Wales,Paramatta River,boating,27.34582218257508,Unkown,White shark,February,N,M
5346,Reported 17-Jan-1914,AUSTRALIA,Queensland,Brisbane,fishing,27.34582218257508,Unkown,White shark,January,N,F
5347,1914,SOUTH AFRICA,KwaZulu-Natal,Durban,non representative,27.34582218257508,Unkown,White shark,Unkown,N,F
5348,Reported 30-Dec-1913,USA,Florida,"Palm Beach, Palm Beach County",non representative,27.34582218257508,Unkown,13' shark,December,N,M
5349,Reported 26-Dec-1913,CUBA,Unkown,off Neuvitas,non representative,27.34582218257508,Unkown,White shark,December,F,M
5350,27-Nov-1913,NIGERIA,Lagos ,Lagos,non representative,27.34582218257508,Unkown,White shark,November,F,M
5351,21-Nov-1913,AUSTRALIA,Queensland,"Sandgate Jetty, Brisbane",swimming,12,Unkown,White shark,November,N,M
5352,21-Sep-1913,USA,Florida,"West Palm Beach, Palm Beach County",non representative,27.34582218257508,Unkown,Said to involve a 2.4 m [8'] hammerhead shark,September,N,M
5353,03-Sep-1913,CROATIA,Istria County,Pula,non representative,27.34582218257508,Unkown,2 m shark,September,N,M
5354,Reported 27-Aug-1913,USA,New Jersey,"Lavalette, Ocean County",non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,August,N,M
5355,Reported 27-Aug-1913,USA,New Jersey,"Spring Lake, Monmouth County",non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,August,N,F
5356,26-Aug-1913,ITALY,Trieste,Unkown,non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,August,N,M
5357,12-July-1913,USA,South Carolina,Charleston,non representative,27.34582218257508,Unkown,White shark,July,F,M
5358,Reported 10-Jul-1913,COSTA RICA,Unkown,Port Limon,swimming,27.34582218257508,Unkown,White shark,July,F,M
5359,21-May-1913,USA,Florida,"John's Pass, Pinellas County",non representative,27.34582218257508,Unkown,White shark,May,N,M
5360,02-May-1913,AUSTRALIA,New South Wales,Unkown,non representative,27.34582218257508,Unkown,White shark,May,N,M
5361,27-Mar-1913,SAMOA,Upolu Island,Apia Harbor,non representative,27.34582218257508,Unkown,White shark,March,N,M
5362,Jan-1913,AUSTRALIA,Torres Strait,Thursday Island,non representative,27.34582218257508,Unkown,Tiger shark ,January,N,M
5363,1913,REUNION,Saint-Denis,Barachoise bridge,non representative,27.34582218257508,Unkown,White shark,Unkown,F,M
5364,1913,REUNION,5aint-Denis,Barachois,swimming,27.34582218257508,Unkown,White shark,Unkown,F,M
5365,1913,AUSTRALIA,Victoria,Brighton,non representative,27.34582218257508,Unkown,White shark,Unkown,N,M
5366,Reported 30-Nov-1912,PHILIPPINES,Unkown,Unkown,non representative,19,Unkown,White shark,November,F,F
5367,30-Aug-1912,USA,Georgia,"Tybee Island, Chatham County",swimming,12,Unkown,White shark,August,F,M
5368,23-Jul-1912,USA,South Carolina,Sullivan's Island,swimming,27.34582218257508,afternoon,8' shark,July,N,M
5369,Reported 06-Jul-1912,SOLOMON ISLANDS,Central Province,Savo,non representative,27.34582218257508,Unkown,White shark,July,F,M
5370,04-May-1912,SOUTH AFRICA,KwaZulu-Natal,Durban,non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,May,N,M
5371,18-Mar-1912,NEW ZEALAND,North Island,Takapuna,swimming,27.34582218257508,Unkown,White shark,March,N,M
5372,22-Feb-1912,AUSTRALIA,Western Australia,Bunbury,non representative,27.34582218257508,Unkown,White shark,February,N,M
5373,19-Feb-1912,AUSTRALIA,New South Wales,Coogee,swimming,18,afternoon,White shark,February,N,M
5374,03-Feb-1912,NEW CALEDONIA,South Province,Noumea,swimming,27.34582218257508,Unkown,White shark,February,N,M
5375,26-Jan-1912,AUSTRALIA,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney ",swimming,21,afternoon,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut",January,F,M
5376,Reported 13-Jan-1912,FIJI,Viti Levu group,Beqa,non representative,7,Unkown,White shark,January,F,M
5377,06-Jan-1912,AUSTRALIA,New South Wales,Sydney Harbor,non representative,27.34582218257508,Unkown,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel",January,N,M
5378,01-Jan-1912,AUSTRALIA,Queensland,Ross Creek,non representative,27.34582218257508,morning,White shark,January,F,M
5379,1912,SPAIN,Balearics,Isla Cabrera,swimming,27.34582218257508,Unkown,White shark,Unkown,F,M
5380,08-Nov-1911,USA,Florida,"Pensacola Bay, Escambia County",non representative,27.34582218257508,Unkown,Shark involvement prior to death unconfirmed,November,N,M
5381,26-Oct-1911,USA,South Carolina,Off Charleston,non representative,27.34582218257508,Unkown,White shark,october,F,M
5382,25-Oct-1911,AUSTRALIA,Queensland,Great Barrier Reef,non representative,23,evening,White shark,october,N,M
5383,23-Sep-1911,USA,Texas,Galveston Ship Channel,non representative,27.34582218257508,Unkown,White shark,September,F,M
5384,20-Sep-1911,USA,Florida,"Pensacola Bay, Escambia County",non representative,27.34582218257508,Unkown,White shark,September,F,M
5385,17-Sep-1911,USA,Florida,"Pablo Beach, Jacksonville, Duval County",non representative,27.34582218257508,Unkown,White shark,September,N,M
5386,Reported 31-Jul-1911,SPAIN,Málaga ,Ceuta,non representative,27.34582218257508,Unkown,White shark,July,F,M
5387,Reported 16-Jul-1911,USA,Delaware,Delaware Lightship,non representative,27.34582218257508,Unkown,White shark,July,N,M
5388,09-May-1911,SOUTH AFRICA,Western Cape Province,Victoria Bay,non representative,64,Unkown,White shark,May,F,M
5389,Reported 01-May-1911,USA,Texas,"Rockport, Aransas County",non representative,27.34582218257508,Unkown,5' shark,May,N,M
5390,01-May-1911,SOUTH AFRICA,Western Cape Province,Victoria Bay,swimming,27.34582218257508,Unkown,White shark,May,F,M
5391,Reported 08-Apr-1911,NEW ZEALAND,Chatham Islands,Unkown,non representative,27.34582218257508,Unkown,White shark,April,N,M
5392,Reported 29-Mar-1911,AUSTRALIA,Torres Strait,Thursday Island,swimming,27.34582218257508,Unkown,White shark,March,F,M
