,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
2100,Reported 16-Sep-1999,USA,Florida,"Cape Canaveral, Brevard County",fishing,61,Unkown,Unidentified,September,N,F
2101,10-Sep-1999,USA,South Carolina,"Isle of Palms, Charleston County",fishing,10,afternoon,White shark,September,N,F
2102,05-Sep-1999,USA,Florida,"Fort Pierce Inlet, St. Lucie County",surfing,13,Unkown,1.5 m to 1.8 m [5' to 6'] shark,September,N,M
2103,04-Sep-1999,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",fishing,7,Unkown,0.9 m [3'] shark,September,N,M
2104,04-Sep-1999,USA,Florida,"Ponce Inlet, Volusia County",non representative,39,evening,White shark,September,N,M
2105,26-Aug-1999,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",surfing,28,afternoon,"""a small shark""",August,N,M
2106,24-Aug-1999,USA,North Carolina,"Fort Fisher, New Hanover County",surfing,27.34582218257508,Unkown,White shark,August,N,M
2107,23-Aug-1999,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,non representative,23,morning,7' shark,August,N,M
2108,21-Aug-1999,USA,Florida,"Ponce Inlet, Volusia County",surfing,17,Unkown,White shark,August,N,M
2109,16-Aug-1999,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",non representative,10,Unkown,1.8 m [6'] shark,August,N,M
2110,05-Aug-1999,USA,Florida,"New Smyrna Beach, Volusia County",non representative,62,Unkown,4' to 5' shark,August,N,M
2111,05-Aug-1999,BAHAMAS,Abaco Islands,Grand Cay,non representative,35,evening,2.7 m [9']  bull shark or Caribbean reef shark,August,N,M
2112,29-Jul-1999,SOUTH AFRICA,Western Cape Province,Kogebaai,surfing,42,afternoon,"White shark, 3 m to 5 m [10' to 16.5'] ",July,N,M
2113,26-Jul-1999,USA,Florida,"Two miles off Key Colony Beach, Monroe County",non representative,43,Unkown,"Bull shark, 2.1 m [7']",July,N,M
2114,21-Jul-1999,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),surfing,43,Unkown,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",July,N,M
2115,15-Jul-1999,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),surfing,14,Unkown,White shark,July,F,M
2116,06-Jul-1999,USA,South Carolina,Charleston,non representative,27.34582218257508,Unkown,White shark,July,N,M
2117,04-Jul-1999,USA,Florida,"Pensacola  Beach, Escambia County",non representative,30,afternoon,"Blacktip shark, 1.8 m [6'] ",July,N,F
2118,03-Jul-1999,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",surfing,29,morning,"White shark, 4 m [13'] ",July,N,M
2119,19-Jun-1999,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",non representative,20,Unkown,1.2 m [4'] shark,June,N,M
2120,17-Jun-1999,USA,Florida,"South of Ponce Inlet, Volusia County",surfing,21,Unkown,3' to 4' shark,June,N,M
2121,12-Jun-1999,USA,Florida,"Atlantiic Beach, Duval County",swimming,41,Unkown,White shark,June,N,M
2122,09-Jun-1999,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",non representative,5,afternoon,Blacktip or spinner shark,June,N,M
2123,29-May-1999,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",surfing,22,afternoon,Thought to involve a white shark,May,F,M
2124,01-May-1999,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",surfing,21,afternoon,"Tiger shark, 2.5 m [8.25']",May,N,M
2125,22-Apr-1999,MAURITIUS,Grand Baie,Pointe aux Canonniers,swimming,41,morning,"Grey reef shark, 1.5 m ",April,N,F
2126,11-Apr-1999,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,non representative,52,morning,3 bull sharks,April,F,M
2127,01-Apr-1999,USA,Florida,"Hobe Sound Beach, Palm Beach County",surfing,14,Unkown,White shark,April,N,M
2128,Reported 18-Mar-1999 ,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,non representative,27.34582218257508,Unkown,"Sevengill shark, 2.4 m [8'] ",March,N,M
2129,18-Mar-1999,BRAZIL,Rio Grande de Norte,Atol das Rochas,non representative,27.34582218257508,Unkown,White shark,March,N,M
2130,18-Mar-1999,USA,Hawaii,"Olowalu side of Lahina, Maui ",non representative,29,night,White shark,March,F,F
2131,14-Mar-1999,NEW CALEDONIA,Loyalty Islands,Ouvea,fishing,27.34582218257508,morning,200 to 300 kg shark,March,N,M
